name	x	y	z	size
A1	-1.86267626285553	-70.9542694091797	2.00914812088013	0
A2	-2.84138870239258	-69.2256851196289	14.1081161499023	0
A3	-2.29560852050781	-56.801155090332	16.6149482727051	0
A4	-1.376877784729	-47.197193145752	22.6315402984619	0
A5	-1.57844483852386	-40.3077621459961	33.0712890625	0
A6	-4.21163654327393	-29.4138984680176	43.0070724487305	0
A7	-6.90005016326904	-33.4242935180664	49.0917091369629	0
A8	-6.88294839859009	-22.8056640625	58.8132820129395	0
A9	-3.53774261474609	-20.2144584655762	60.2521057128906	0
A10	-5.1759819984436	-6.79796600341797	59.1756210327148	0
A11	-31.0578346252441	-21.7092475891113	-31.4160709381104	0
A12	-25.6374855041504	-19.9387512207031	-33.7533531188965	0
A13	-20.2446212768555	-12.8675785064697	-35.1202163696289	0
A14	-19.0641193389893	-7.53157901763916	-35.4274215698242	0
A15	-23.1566200256348	0.879505157470703	-42.6667022705078	0
A16	-25.6992073059082	14.0482759475708	-41.3255386352539	0
A17	-34.953067779541	20.3509731292725	-36.0219955444336	0
A18	-40.0076675415039	20.2757682800293	-34.0233840942383	0
A19	-22.7268733978271	-7.4998459815979	-38.2380905151367	0
A20	-31.1939125061035	-4.76418352127075	-44.7023124694824	0
A21	-37.6441345214844	-4.57383918762207	-47.0466728210449	0
A22	-42.2552490234375	-8.71443843841553	-46.0066528320312	0
A23	-55.0760612487793	0.706409335136414	-34.6426773071289	0
A24	-58.3976058959961	1.20052182674408	-30.577220916748	0
A25	-9.98558521270752	-53.3713607788086	-4.81195688247681	0
A26	-14.7242002487183	-47.534366607666	-9.54775047302246	0
A27	-17.8493804931641	-46.2854843139648	-12.1232557296753	0
A28	-23.6265659332275	-52.1794548034668	-16.8056755065918	0
A29	-25.1001415252686	-45.4707527160645	-20.1951141357422	0
A30	-34.6200904846191	-43.7778434753418	-25.1857471466064	0
A31	-51.7923583984375	-32.8079299926758	-31.8671207427979	0
A32	-58.3508224487305	-30.7156620025635	-31.0213432312012	0
A33	-1.67402267456055	-81.9350967407227	0.84092390537262	0
A34	-2.39277935028076	-90.4934997558594	-8.31666469573975	0
A35	-6.27066564559937	-95.6021347045898	-10.1924343109131	0
